Customer ID,Monetaire_Total_Depense,Frequence_Nb_Commandes,Date_Premier_Achat,R_Score,F_Score,M_Score,RFM_Somme,RFM_Pourcentage
12346,-51.74000000000524,17,2009-12-14 08:34:00,4,5,1,10,333
12347,4921.53,8,2010-10-31 14:20:00,1,4,5,10,333
12348,2019.4,5,2010-09-27 14:59:00,3,3,4,10,333
12349,4404.54,5,2009-12-04 12:49:00,2,3,5,10,333
12350,334.4,1,2011-02-02 16:01:00,4,1,2,7,233
12351,300.93,1,2010-11-29 15:23:00,4,1,2,7,233
12352,1889.21,13,2010-11-12 10:20:00,2,5,4,11,367
12353,406.76,2,2010-10-27 12:44:00,4,2,2,8,267
12354,1079.4,1,2011-04-21 13:11:00,4,1,3,8,267
12355,947.61,2,2010-05-21 11:59:00,4,2,3,9,300
12356,6371.73,6,2010-10-11 09:42:00,2,4,5,11,367
12357,18287.66,3,2010-11-16 10:05:00,2,2,5,9,300
12358,3887.07,5,2009-12-08 07:59:00,1,3,5,9,300
12359,8652.34,14,2009-12-05 13:32:00,1,5,5,11,367
12360,4212.89,9,2010-02-22 09:32:00,2,4,5,11,367
12361,511.25,4,2010-01-26 14:37:00,4,3,2,9,300
12362,5284.58,14,2009-12-01 10:10:00,1,5,5,11,367
12363,552.0,2,2011-04-11 13:29:00,3,2,2,7,233
12364,1313.1,4,2011-08-19 15:24:00,1,3,4,8,267
12365,320.69,3,2011-02-21 13:51:00,4,2,2,8,267
12366,500.24,1,2010-03-16 10:28:00,5,1,2,8,267
12367,168.9,1,2011-12-05 16:48:00,1,1,1,3,100
12368,917.6999999999999,1,2010-03-21 15:56:00,5,1,3,9,300
12369,1791.15,3,2010-03-08 08:09:00,4,2,4,10,333
12370,4316.56,7,2010-02-09 09:41:00,2,4,5,11,367
12371,4067.38,5,2010-03-04 18:23:00,2,3,5,10,333
12372,1298.04,3,2011-02-16 12:46:00,3,2,4,9,300
12373,1127.65,3,2010-02-04 12:08:00,4,2,3,9,300
12374,2989.2200000000003,4,2010-04-30 14:01:00,2,3,5,10,333
12375,455.42,3,2011-09-02 14:23:00,1,2,2,5,167
12376,503.15,2,2010-10-18 08:42:00,4,2,2,8,267
12377,3426.32,4,2010-04-29 15:34:00,4,3,5,12,400
12378,5416.32,2,2010-05-26 14:07:00,3,2,5,10,333
12379,1618.27,5,2010-06-23 12:49:00,3,3,4,10,333
12380,7888.0,15,2010-02-15 12:05:00,2,5,5,12,400
12381,1803.96,6,2011-08-12 09:57:00,1,4,4,9,300
12382,-18.38,1,2010-01-26 16:25:00,5,1,1,7,233
12383,1839.31,6,2010-12-22 14:28:00,3,4,4,11,367
12384,566.16,3,2011-08-10 11:23:00,2,2,2,6,200
12385,1923.4,2,2010-11-25 15:14:00,4,2,4,10,333
12386,401.9,2,2010-12-08 09:53:00,4,2,2,8,267
12387,143.94,1,2010-10-20 16:27:00,5,1,1,7,233
12388,3901.11,8,2010-05-06 12:54:00,1,4,5,10,333
12389,1433.33,3,2010-02-22 10:15:00,4,2,4,10,333
12390,549.84,1,2011-09-21 09:33:00,3,1,2,6,200
12391,2699.24,7,2010-02-15 10:12:00,2,4,4,10,333
12392,234.75000000000003,1,2010-04-27 14:04:00,5,1,1,7,233
12393,2376.75,7,2010-10-07 13:49:00,3,4,4,11,367
12394,1272.48,2,2011-05-06 14:01:00,3,2,4,9,300
12395,4700.82,18,2010-04-16 10:16:00,1,5,5,11,367
12396,931.43,1,2010-02-03 13:22:00,5,1,3,9,300
12397,2409.9,2,2011-07-27 14:21:00,2,2,4,8,267
12398,1635.6599999999999,1,2011-10-25 10:27:00,2,1,4,7,233
12399,1962.3,7,2010-03-05 08:45:00,3,4,4,11,367
